"Date de création";"Numéro de lettrage";"Numéro de police";"Prime TTC";"Date effet";"Echéance"
"2018-12-10 17:39:57";"";"AUX253095";"209711";"2017-04-04";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX253095";"726961";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX253129";"516891";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MRD284492";"830677";"2017-03-01";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX187730";"601796";"2017-12-03";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX187731";"601796";"2017-12-03";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX253119";"40186";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX253104";"310524";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX304250";"162500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284350";"112500";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX304250";"162500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284333";"112500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284396";"137500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304288";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284438";"375000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284426";"137500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284426";"137500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284426";"137500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304355";"10000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304355";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284350";"112500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304355";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304354";"31250";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304354";"31250";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304354";"31250";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284447";"556250";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284447";"556250";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284447";"556250";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304171";"28000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304171";"28000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304171";"28000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304301";"4000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304171";"28000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284375";"187500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284375";"187500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284375";"187500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304172";"10000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304172";"10000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304172";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304172";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284376";"112500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284376";"112500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304301";"4000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284376";"112500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304170";"10000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304170";"10000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304170";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304170";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX304274";"112500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX304274";"112500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX304274";"112500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304275";"10000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304275";"10000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304301";"4000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304275";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304275";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX284491";"62500";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX284491";"62500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX284491";"62500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX284491";"62500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX304276";"62500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX304276";"62500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304277";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304277";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304301";"4000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284339";"137500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284339";"137500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304362";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304362";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284340";"137500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284340";"137500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304363";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304363";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX304338";"62500";"2017-07-01";"2018-12-10"
